"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",
Country Name,Country Code,Indicator Name,Indicator Code,1960,1980,2000,2020,
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.748,8.519,16.504,20.199,
Sub-Saharan Africa,SSF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.690112218711,22.3394236827899,31.353649029344,41.2521423477946,
Small states,SST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.3883486310369,40.1379611610175,48.8956120453372,59.5830710084345,
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.073,33.482,53.424,74.354,
Suriname,SUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.26,64.96,66.444,66.149,
Slovak Republic,SVK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.464,51.638,56.233,53.76,
Slovenia,SVN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.204,48.045,50.754,55.118,
Sweden,SWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.49,83.087,84.026,87.977,
Eswatini,SWZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,3.913,16.478,22.686,24.171,
Sint Maarten (Dutch part),SXM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,
Seychelles,SYC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.673,49.366,50.433,57.546,
Syrian Arab Republic,SYR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.807,46.708,51.947,55.475,
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.679,55.259,84.55,93.605,
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,6.695,18.787,21.637,23.52,
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.6177108270506,20.875034082908,36.2710640960853,57.4197244466078,
